G: 16.40076816, SA: 18.92001275, diff: 2.519244590000003, Winner: SA
G: 22.26539183, SA: 17.49699622, diff: 4.768395609999999, Winner: G
G: 20.09852907, SA: 20.0980038, diff: 0.0005252700000006882, Winner: G
G: 23.66881284, SA: 23.6677698, diff: 0.0010430400000025486, Winner: G
G: 24.63741664, SA: 24.63708549, diff: 0.00033115000000094597, Winner: G
G: 19.95240791, SA: 19.95221051, diff: 0.00019740000000112445, Winner: G
G: 23.63607948, SA: 23.63588739, diff: 0.00019208999999875687, Winner: G
G: 17.40426095, SA: 17.40382036, diff: 0.000440590000000185, Winner: G
G: 17.56086418, SA: 26.36292252, diff: 8.802058340000002, Winner: SA
G: 25.50298907, SA: 25.50261836, diff: 0.00037071000000210574, Winner: G
G: 21.6633398, SA: 21.66333197, diff: 7.829999997710502e-06, Winner: G
G: 22.91110829, SA: 22.91110624, diff: 2.0500000026402176e-06, Winner: G
G: 23.48546168, SA: 23.48539207, diff: 6.961000000060835e-05, Winner: G
G: 22.57384671, SA: 22.57350511, diff: 0.0003416000000022734, Winner: G
G: 17.61081933, SA: 17.61076815, diff: 5.1180000003370196e-05, Winner: G
G: 19.27616982, SA: 19.27610878, diff: 6.10399999985134e-05, Winner: G
G: 15.49165172, SA: 15.49146543, diff: 0.00018629000000025542, Winner: G
G: 12.19463789, SA: 25.71577162, diff: 13.521133730000003, Winner: SA
G: 27.87137133, SA: 27.8711631, diff: 0.0002082299999983661, Winner: G
G: 25.41081768, SA: 25.41081004, diff: 7.6399999997534e-06, Winner: G
G: 22.7533796, SA: 22.75324404, diff: 0.0001355600000003676, Winner: G
G: 23.5231807, SA: 23.52314284, diff: 3.7860000002609695e-05, Winner: G
G: 15.23212207, SA: 21.83001006, diff: 6.5978879899999985, Winner: SA
G: 23.05575258, SA: 23.05447567, diff: 0.0012769100000014078, Winner: G
G: 22.44711242, SA: 22.44623533, diff: 0.0008770899999994697, Winner: G
G: 21.95609005, SA: 21.95454695, diff: 0.0015430999999992423, Winner: G
G: 24.96870319, SA: 24.96863268, diff: 7.05100000004677e-05, Winner: G
G: 17.18192299, SA: 17.17954954, diff: 0.0023734500000003322, Winner: G
G: 23.88506943, SA: 23.8848102, diff: 0.0002592300000010539, Winner: G
G: 15.01731535, SA: 15.01702693, diff: 0.0002884200000004, Winner: G
G: 17.07153213, SA: 17.06441308, diff: 0.007119050000000016, Winner: G
G: 18.13194083, SA: 18.13179649, diff: 0.00014434000000207448, Winner: G
G: 18.36823448, SA: 18.35429596, diff: 0.013938519999999954, Winner: G
G: 17.01579057, SA: 20.41244763, diff: 3.396657059999999, Winner: SA
G: 19.44936446, SA: 19.44658838, diff: 0.0027760800000002916, Winner: G
G: 17.15876341, SA: 17.15872253, diff: 4.0880000000242944e-05, Winner: G
G: 23.63074994, SA: 23.63014006, diff: 0.0006098800000025051, Winner: G
G: 21.69410956, SA: 21.69135597, diff: 0.0027535900000010827, Winner: G
G: 20.18930208, SA: 21.75331639, diff: 1.5640143099999975, Winner: SA
G: 18.08872852, SA: 18.08723764, diff: 0.00149087999999864, Winner: G
G: 18.72622434, SA: 18.72514096, diff: 0.0010833800000007443, Winner: G
G: 25.24309868, SA: 25.23167646, diff: 0.011422220000000038, Winner: G
G: 22.91425375, SA: 22.90297773, diff: 0.011276020000000386, Winner: G
