G: 12.44481437, SA: 12.4448066, diff: 7.769999999851507e-06, Winner: G
G: 9.20447658, SA: 9.2044501, diff: 2.6479999998940684e-05, Winner: G
G: 11.83277596, SA: 11.83276905, diff: 6.909999999749061e-06, Winner: G
G: 9.09800853, SA: 9.09800667, diff: 1.859999999354045e-06, Winner: G
G: 12.46794718, SA: 12.07861522, diff: 0.3893319599999998, Winner: G
G: 8.16382748, SA: 8.16381711, diff: 1.0370000000037294e-05, Winner: G
G: 8.49367903, SA: 8.49363226, diff: 4.67699999990856e-05, Winner: G
G: 10.10361146, SA: 10.10360793, diff: 3.529999998974631e-06, Winner: G
G: 15.24299429, SA: 15.24297537, diff: 1.8920000000477444e-05, Winner: G
G: 7.62023164, SA: 7.62002501, diff: 0.00020663000000009646, Winner: G
G: 12.19246123, SA: 12.19245871, diff: 2.519999998895628e-06, Winner: G
G: 9.70151624, SA: 9.70149791, diff: 1.832999999962226e-05, Winner: G
G: 10.91443899, SA: 10.91442617, diff: 1.2820000000246523e-05, Winner: G
G: 11.46324966, SA: 11.46317103, diff: 7.863000000085663e-05, Winner: G
G: 15.61502196, SA: 15.61494814, diff: 7.382000000077937e-05, Winner: G
G: 9.21347226, SA: 9.21345768, diff: 1.4580000000208315e-05, Winner: G
G: 11.81904023, SA: 11.81903873, diff: 1.4999999997655777e-06, Winner: G
G: 13.49050355, SA: 13.49048363, diff: 1.9919999999729043e-05, Winner: G
G: 10.15372615, SA: 10.15369242, diff: 3.373000000017612e-05, Winner: G
G: 7.84805756, SA: 7.84802021, diff: 3.7350000000380135e-05, Winner: G
G: 8.72206063, SA: 11.90445383, diff: 3.1823932, Winner: SA
G: 12.24903426, SA: 12.2489005, diff: 0.00013376000000064892, Winner: G
G: 11.01890137, SA: 11.01886455, diff: 3.682000000004848e-05, Winner: G
G: 10.40983673, SA: 10.4097576, diff: 7.912999999959425e-05, Winner: G
G: 11.22339749, SA: 11.22325349, diff: 0.0001440000000005881, Winner: G
G: 12.0222543, SA: 12.02225426, diff: 3.999999975690116e-08, Winner: G
G: 10.8240291, SA: 10.82402831, diff: 7.900000014160469e-07, Winner: G
G: 11.84275126, SA: 11.84270724, diff: 4.402000000069961e-05, Winner: G
G: 13.05562319, SA: 13.05557991, diff: 4.327999999986787e-05, Winner: G
G: 10.87804929, SA: 10.87795924, diff: 9.005000000072982e-05, Winner: G
G: 9.99794235, SA: 9.99794195, diff: 4.000000011217253e-07, Winner: G
G: 7.63169561, SA: 7.63162145, diff: 7.416000000048939e-05, Winner: G
G: 9.44466785, SA: 9.44466724, diff: 6.100000007336348e-07, Winner: G
G: 10.29723004, SA: 10.2972299, diff: 1.400000009255109e-07, Winner: G
G: 11.08429188, SA: 11.08427929, diff: 1.2590000000756163e-05, Winner: G
G: 12.34889886, SA: 12.34889883, diff: 3.000000070585429e-08, Winner: G
G: 12.24047257, SA: 12.89618138, diff: 0.6557088100000001, Winner: SA
G: 11.36245675, SA: 11.36240258, diff: 5.417000000029759e-05, Winner: G
G: 10.14664952, SA: 10.14652501, diff: 0.00012451000000091028, Winner: G
G: 11.47828555, SA: 11.47822478, diff: 6.077000000104249e-05, Winner: G
G: 15.26701638, SA: 15.26699964, diff: 1.6739999999515476e-05, Winner: G
G: 10.05018078, SA: 10.05018027, diff: 5.099999995650251e-07, Winner: G
G: 8.57080007, SA: 8.57080009, diff: 1.999999987845058e-08, Winner: SA
G: 10.65247057, SA: 11.1280817, diff: 0.475611129999999, Winner: SA
G: 11.52487592, SA: 11.52485112, diff: 2.480000000026905e-05, Winner: G
G: 14.34347816, SA: 9.25510274, diff: 5.08837542, Winner: G
G: 12.26264507, SA: 12.26264214, diff: 2.9299999990684e-06, Winner: G
G: 12.1580178, SA: 12.15790215, diff: 0.00011564999999968961, Winner: G
G: 10.91444155, SA: 10.91402692, diff: 0.0004146299999998604, Winner: G
G: 9.11648566, SA: 9.11645535, diff: 3.0309999999644788e-05, Winner: G
G: 7.83546748, SA: 11.63406412, diff: 3.7985966399999995, Winner: SA
G: 10.10451645, SA: 10.10451432, diff: 2.130000000377663e-06, Winner: G
G: 13.64756275, SA: 13.6475616, diff: 1.1500000010045142e-06, Winner: G
G: 13.03197052, SA: 13.03192274, diff: 4.77799999991646e-05, Winner: G
G: 13.1685398, SA: 13.16848266, diff: 5.713999999912289e-05, Winner: G
G: 9.94886356, SA: 9.94854701, diff: 0.00031654999999908284, Winner: G
G: 13.80992012, SA: 13.80991642, diff: 3.6999999988296395e-06, Winner: G
G: 12.32464942, SA: 12.32464378, diff: 5.639999999473844e-06, Winner: G
G: 10.70832249, SA: 10.70830838, diff: 1.4110000000400191e-05, Winner: G
G: 13.47682019, SA: 13.47678946, diff: 3.072999999886861e-05, Winner: G
G: 12.64377589, SA: 12.64371678, diff: 5.911000000047295e-05, Winner: G
G: 7.92718901, SA: 7.9271882, diff: 8.10000000406319e-07, Winner: G
G: 12.21542626, SA: 12.21542535, diff: 9.099999989103935e-07, Winner: G
G: 16.01982557, SA: 16.01982396, diff: 1.6099999982088775e-06, Winner: G
G: 10.01341356, SA: 10.01340882, diff: 4.739999999614497e-06, Winner: G
G: 10.89174365, SA: 10.89160778, diff: 0.00013587000000114813, Winner: G
G: 10.21763138, SA: 10.21763144, diff: 5.999999963535174e-08, Winner: SA
G: 15.28737255, SA: 15.28733934, diff: 3.320999999978369e-05, Winner: G
G: 13.05467159, SA: 13.05465805, diff: 1.3539999999423458e-05, Winner: G
G: 15.64839932, SA: 15.64839661, diff: 2.709999998629087e-06, Winner: G
G: 13.09174541, SA: 13.09174185, diff: 3.5599999996804854e-06, Winner: G
G: 12.04199425, SA: 12.0419896, diff: 4.649999999273291e-06, Winner: G
G: 11.61353631, SA: 11.6134784, diff: 5.791000000066049e-05, Winner: G
G: 8.75616505, SA: 13.14392072, diff: 4.387755670000001, Winner: SA
