G: 2.39980116, SA: 2.83767672, diff: 0.43787556000000016, Winner: SA
G: 2.27618903, SA: 2.97958704, diff: 0.7033980100000004, Winner: SA
G: 2.43482736, SA: 2.43462061, diff: 0.00020674999999981125, Winner: G
G: 2.15991164, SA: 2.15990971, diff: 1.9299999998168005e-06, Winner: G
G: 2.71850269, SA: 2.71845197, diff: 5.072000000039267e-05, Winner: G
G: 2.0253424, SA: 2.50798762, diff: 0.4826452200000002, Winner: SA
G: 1.02984482, SA: 3.90893044, diff: 2.8790856199999997, Winner: SA
G: 1.7546793, SA: 1.75464316, diff: 3.613999999996231e-05, Winner: G
G: 4.51570236, SA: 4.51567605, diff: 2.6309999999973854e-05, Winner: G
G: 1.1755943, SA: 1.17548223, diff: 0.00011206999999990863, Winner: G
G: 2.78073543, SA: 2.78071767, diff: 1.7759999999977794e-05, Winner: G
G: 2.32931635, SA: 4.16632743, diff: 1.83701108, Winner: SA
G: 4.22725129, SA: 4.22724399, diff: 7.300000000043383e-06, Winner: G
G: 1.04026464, SA: 1.0402599, diff: 4.740000000058586e-06, Winner: G
G: 3.94388942, SA: 3.94387339, diff: 1.6030000000277767e-05, Winner: G
G: 2.44248787, SA: 2.44246996, diff: 1.790999999995435e-05, Winner: G
G: 2.74404434, SA: 2.74402594, diff: 1.8399999999640926e-05, Winner: G
G: 1.97323971, SA: 2.94073918, diff: 0.9674994699999999, Winner: SA
G: 3.15958828, SA: 1.96828875, diff: 1.19129953, Winner: G
G: 2.18990808, SA: 2.18987867, diff: 2.940999999978544e-05, Winner: G
G: 3.48629388, SA: 3.48622241, diff: 7.14699999999624e-05, Winner: G
G: 1.97305689, SA: 3.66386484, diff: 1.69080795, Winner: SA
G: 1.85006602, SA: 1.85006787, diff: 1.849999999858909e-06, Winner: SA
G: 3.71231582, SA: 3.71211041, diff: 0.00020540999999996146, Winner: G
G: 2.30112863, SA: 2.30111974, diff: 8.890000000150167e-06, Winner: G
G: 1.01678143, SA: 1.01664883, diff: 0.00013259999999992722, Winner: G
G: 3.28390884, SA: 3.28384663, diff: 6.220999999984045e-05, Winner: G
G: 3.333623, SA: 3.33354771, diff: 7.52899999998391e-05, Winner: G
G: 1.01777133, SA: 1.01776465, diff: 6.680000000036657e-06, Winner: G
G: 2.76425368, SA: 2.76419945, diff: 5.422999999993294e-05, Winner: G
G: 2.65071917, SA: 2.65070739, diff: 1.1779999999905755e-05, Winner: G
G: 2.02127249, SA: 2.02126834, diff: 4.149999999647491e-06, Winner: G
G: 2.28427654, SA: 2.28427429, diff: 2.250000000092456e-06, Winner: G
G: 2.12380391, SA: 4.09667921, diff: 1.9728752999999997, Winner: SA
G: 3.89331872, SA: 3.89331596, diff: 2.76000000010157e-06, Winner: G
G: 4.18526053, SA: 4.18513176, diff: 0.00012876999999988925, Winner: G
G: 2.76346894, SA: 2.54061688, diff: 0.22285206000000013, Winner: G
G: 2.89017131, SA: 1.00096941, diff: 1.8892019, Winner: G
G: 1.01275874, SA: 1.01275688, diff: 1.8600000000201788e-06, Winner: G
G: 2.96819468, SA: 2.96765787, diff: 0.0005368099999998321, Winner: G
G: 1.00042359, SA: 1.00039892, diff: 2.46699999999489e-05, Winner: G
G: 2.87781809, SA: 2.48255617, diff: 0.3952619199999998, Winner: G
G: 1.99520366, SA: 1.99517664, diff: 2.7020000000099742e-05, Winner: G
G: 2.08290513, SA: 2.08290287, diff: 2.260000000031681e-06, Winner: G
G: 1.46675425, SA: 1.46674225, diff: 1.1999999999900979e-05, Winner: G
G: 3.9755834, SA: 4.21576284, diff: 0.2401794399999999, Winner: SA
G: 2.20681637, SA: 2.61695971, diff: 0.4101433400000003, Winner: SA
G: 2.38283847, SA: 2.3828207, diff: 1.776999999991702e-05, Winner: G
G: 1.05150201, SA: 1.05145601, diff: 4.599999999999049e-05, Winner: G
G: 1.00846468, SA: 3.2026051, diff: 2.19414042, Winner: SA
G: 2.03754044, SA: 2.03753875, diff: 1.6899999999431259e-06, Winner: G
G: 2.80384674, SA: 2.80384515, diff: 1.5900000001067838e-06, Winner: G
G: 1.97619726, SA: 1.9761859, diff: 1.1360000000015802e-05, Winner: G
G: 1.00621478, SA: 1.00619434, diff: 2.0440000000121472e-05, Winner: G
G: 2.51031388, SA: 2.51026848, diff: 4.539999999986222e-05, Winner: G
G: 2.09191686, SA: 2.09187563, diff: 4.1229999999892186e-05, Winner: G
G: 1.01162998, SA: 1.01161252, diff: 1.7460000000024678e-05, Winner: G
G: 4.38759138, SA: 4.38749464, diff: 9.674000000003957e-05, Winner: G
G: 1.01827648, SA: 2.70795862, diff: 1.68968214, Winner: SA
G: 1.05220249, SA: 3.77434975, diff: 2.72214726, Winner: SA
G: 2.70289892, SA: 2.70278473, diff: 0.00011419000000012502, Winner: G
G: 3.49524912, SA: 3.49524816, diff: 9.599999999387876e-07, Winner: G
G: 3.78694519, SA: 3.78687732, diff: 6.787000000008092e-05, Winner: G
G: 3.4866689, SA: 3.48662933, diff: 3.9570000000210825e-05, Winner: G
G: 1.54338447, SA: 1.54334355, diff: 4.0919999999999845e-05, Winner: G
G: 2.46388553, SA: 3.30982058, diff: 0.8459350499999996, Winner: SA
G: 2.72880953, SA: 3.00733157, diff: 0.2785220399999999, Winner: SA
G: 3.89432996, SA: 1.98139316, diff: 1.9129367999999998, Winner: G
G: 1.89039251, SA: 1.89039048, diff: 2.030000000097232e-06, Winner: G
G: 2.56422049, SA: 4.06052274, diff: 1.4963022499999998, Winner: SA
G: 1.02240051, SA: 1.02213575, diff: 0.00026476000000008604, Winner: G
G: 3.27414598, SA: 3.27414164, diff: 4.340000000269129e-06, Winner: G
G: 1.49305682, SA: 1.49302378, diff: 3.3040000000150727e-05, Winner: G
G: 3.18695204, SA: 3.18693384, diff: 1.819999999996824e-05, Winner: G
G: 3.3459097, SA: 3.46156905, diff: 0.11565935000000005, Winner: SA
G: 1.88849364, SA: 2.69953744, diff: 0.8110437999999998, Winner: SA
G: 2.33652877, SA: 2.33651664, diff: 1.2129999999999086e-05, Winner: G
G: 2.99080116, SA: 2.99079821, diff: 2.9500000002791182e-06, Winner: G
G: 1.73534676, SA: 3.27833088, diff: 1.5429841199999998, Winner: SA
G: 1.5621835, SA: 1.56218173, diff: 1.7699999999010174e-06, Winner: G
G: 3.5412029, SA: 3.54117877, diff: 2.4129999999900065e-05, Winner: G
G: 1.00011219, SA: 1.00009189, diff: 2.030000000008414e-05, Winner: G
G: 3.07929539, SA: 3.07920074, diff: 9.46499999998629e-05, Winner: G
G: 4.82364413, SA: 4.82364021, diff: 3.920000000157131e-06, Winner: G
G: 2.80586236, SA: 2.80583669, diff: 2.5669999999866633e-05, Winner: G
G: 1.95220471, SA: 1.95207263, diff: 0.00013207999999997888, Winner: G
G: 1.96209653, SA: 1.96208195, diff: 1.457999999998627e-05, Winner: G
G: 1.91263731, SA: 1.91263042, diff: 6.890000000092655e-06, Winner: G
G: 3.98523584, SA: 3.98521852, diff: 1.7319999999987346e-05, Winner: G
G: 3.46987255, SA: 3.46985412, diff: 1.842999999990269e-05, Winner: G
G: 1.35321064, SA: 1.35321061, diff: 2.999999981767587e-08, Winner: G
G: 3.32227464, SA: 3.32217026, diff: 0.00010437999999979297, Winner: G
G: 4.74732674, SA: 4.74730213, diff: 2.4610000000535592e-05, Winner: G
G: 2.00128385, SA: 2.00128165, diff: 2.19999999995224e-06, Winner: G
G: 2.06429137, SA: 2.06414117, diff: 0.00015019999999976719, Winner: G
G: 1.85847746, SA: 3.83831334, diff: 1.97983588, Winner: SA
G: 2.99120907, SA: 2.99117101, diff: 3.806000000006193e-05, Winner: G
G: 1.00506615, SA: 2.76584497, diff: 1.7607788199999999, Winner: SA
G: 2.94315427, SA: 2.94314356, diff: 1.070999999974731e-05, Winner: G
G: 1.0000048, SA: 1.00000502, diff: 2.1999999999522402e-07, Winner: SA
SA wins: 23, G wins: 77, Ties: 0
