G: 3.258e-05, SA: 1.453e-05, diff: 1.8050000000000005e-05, Winner: G
G: 0.99999976, SA: 0.9981555, diff: 0.001844260000000042, Winner: G
G: 0.99999975, SA: 0.98930371, diff: 0.010696040000000018, Winner: G
G: 7.435e-05, SA: 0.0, diff: 7.435e-05, Winner: G
G: 1.71436059, SA: 1.71071895, diff: 0.0036416400000001126, Winner: G
G: 1.00098742, SA: 0.99129663, diff: 0.00969078999999995, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1.00000545, SA: 0.9758019, diff: 0.024203549999999963, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1.2227541, SA: 1.21576315, diff: 0.006990950000000051, Winner: G
G: 1.0000006, SA: 0.99043382, diff: 0.009566779999999886, Winner: G
G: 6e-08, SA: 0.0, diff: 6e-08, Winner: G
G: 0.99999975, SA: 0.9898688, diff: 0.010130949999999972, Winner: G
G: 7.046e-05, SA: 0.0, diff: 7.046e-05, Winner: G
G: 1.00029773, SA: 0.99644562, diff: 0.003852109999999964, Winner: G
G: 0.99999976, SA: 0.97438676, diff: 0.025612999999999997, Winner: G
G: 1.00056954, SA: 5.68e-06, diff: 1.0005638600000002, Winner: G
G: 1.00034345, SA: 5.121e-05, diff: 1.0002922399999998, Winner: G
G: 0.99999975, SA: 0.99350637, diff: 0.006493379999999993, Winner: G
G: 0.99999979, SA: 0.99598597, diff: 0.004013820000000057, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.99999975, SA: 0.98785548, diff: 0.012144269999999957, Winner: G
G: 1.33297208, SA: 1.33259875, diff: 0.00037332999999994954, Winner: G
G: 1.80500864, SA: 1.79838791, diff: 0.006620730000000075, Winner: G
G: 0.99999976, SA: 0.99824707, diff: 0.0017526900000000012, Winner: G
G: 2.04297306, SA: 1.99863704, diff: 0.04433602000000003, Winner: G
G: 7.701e-05, SA: 1.06696969, diff: 1.06689268, Winner: SA
G: 1.00001412, SA: 0.98608613, diff: 0.01392798999999989, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1.0052296, SA: 1.00224746, diff: 0.0029821400000000775, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1.00001786, SA: 0.98347342, diff: 0.016544439999999994, Winner: G
G: 0.0, SA: 0.991419, diff: 0.991419, Winner: SA
G: 1.00000138, SA: 0.99531906, diff: 0.004682320000000018, Winner: G
G: 0.0, SA: 1e-08, diff: 1e-08, Winner: SA
G: 1.0009304, SA: 0.99957875, diff: 0.0013516500000001486, Winner: G
G: 0.99999975, SA: 0.98741995, diff: 0.012579799999999919, Winner: G
G: 2e-07, SA: 0.0, diff: 2e-07, Winner: G
G: 1.0000002, SA: 0.99662399, diff: 0.0033762099999998796, Winner: G
G: 1e-08, SA: 0.0, diff: 1e-08, Winner: G
G: 0.99999976, SA: 0.0, diff: 0.99999976, Winner: G
G: 0.99999975, SA: 0.99737602, diff: 0.0026237299999999353, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 6.84e-06, SA: 0.0, diff: 6.84e-06, Winner: G
G: 1.16483411, SA: 0.9981057, diff: 0.16672840999999994, Winner: G
G: 9.2e-07, SA: 1.95156463, diff: 1.95156371, Winner: SA
G: 0.99999976, SA: 0.99646746, diff: 0.0035323000000000437, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 3e-07, SA: 1e-07, diff: 2e-07, Winner: G
G: 0.0, SA: 0.99357399, diff: 0.99357399, Winner: SA
G: 0.99999976, SA: 0.99782961, diff: 0.002170149999999982, Winner: G
G: 0.00014157, SA: 0.0, diff: 0.00014157, Winner: G
G: 5e-08, SA: 0.0, diff: 5e-08, Winner: G
G: 4.168e-05, SA: 1.55651538, diff: 1.5564737, Winner: SA
G: 1.00026909, SA: 0.99683302, diff: 0.0034360700000000133, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1.01411296, SA: 2e-08, diff: 1.01411294, Winner: G
G: 1.60642405, SA: 8.6e-07, diff: 1.60642319, Winner: G
G: 0.99999975, SA: 0.0, diff: 0.99999975, Winner: G
G: 3.44e-06, SA: 0.0, diff: 3.44e-06, Winner: G
G: 1.00010171, SA: 2.2e-07, diff: 1.00010149, Winner: G
G: 1.77235791, SA: 1.75493143, diff: 0.01742647999999991, Winner: G
G: 1.01777031, SA: 1.01357463, diff: 0.004195680000000035, Winner: G
G: 1e-08, SA: 0.99454584, diff: 0.99454583, Winner: SA
G: 1.2396831, SA: 1.21610271, diff: 0.023580390000000007, Winner: G
G: 0.99999976, SA: 0.99352064, diff: 0.00647912000000006, Winner: G
G: 1.02431605, SA: 1.01378215, diff: 0.010533899999999985, Winner: G
G: 0.99999975, SA: 0.99893501, diff: 0.0010647400000000085, Winner: G
G: 1.00000393, SA: 0.99537912, diff: 0.004624810000000146, Winner: G
G: 2.1e-07, SA: 5.49e-06, diff: 5.28e-06, Winner: SA
G: 0.99999975, SA: 0.99411485, diff: 0.005884899999999971, Winner: G
G: 1.00018704, SA: 0.0, diff: 1.00018704, Winner: G
G: 1.00000013, SA: 0.98684832, diff: 0.013151810000000097, Winner: G
G: 1.374e-05, SA: 0.99465391, diff: 0.99464017, Winner: SA
G: 1.00046323, SA: 0.0, diff: 1.00046323, Winner: G
G: 1.14680847, SA: 0.0, diff: 1.14680847, Winner: G
G: 0.99999976, SA: 0.99954608, diff: 0.00045368000000001185, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.99999975, SA: 0.99447962, diff: 0.0055201299999999565, Winner: G
G: 1.27393303, SA: 1.22894871, diff: 0.04498431999999997, Winner: G
G: 0.99999976, SA: 0.99760525, diff: 0.0023945100000000163, Winner: G
G: 0.00012996, SA: 0.99360456, diff: 0.9934746, Winner: SA
G: 1.00000504, SA: 0.99604091, diff: 0.003964130000000066, Winner: G
G: 4.22e-06, SA: 0.99961411, diff: 0.99960989, Winner: SA
G: 1.25598801, SA: 1.22085325, diff: 0.03513476000000004, Winner: G
G: 1.01171178, SA: 1.00808918, diff: 0.0036225999999999203, Winner: G
G: 3.17e-06, SA: 0.0, diff: 3.17e-06, Winner: G
G: 1.0, SA: 0.99167147, diff: 0.00832853, Winner: G
G: 1.26018953, SA: 1.25694575, diff: 0.0032437799999998074, Winner: G
G: 1.00011447, SA: 0.98686132, diff: 0.013253149999999936, Winner: G
G: 1.98517855, SA: 1.98083331, diff: 0.004345240000000139, Winner: G
G: 0.99999976, SA: 0.97772935, diff: 0.022270409999999963, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1.00061149, SA: 0.99915518, diff: 0.0014563100000000162, Winner: G
G: 1.01421534, SA: 0.98622828, diff: 0.027987060000000064, Winner: G
G: 0.99999976, SA: 0.96978294, diff: 0.030216820000000033, Winner: G
G: 7.2e-07, SA: 0.0, diff: 7.2e-07, Winner: G
G: 1.00004028, SA: 0.99328286, diff: 0.006757419999999903, Winner: G
G: 0.0, SA: 2.05487719, diff: 2.05487719, Winner: SA
SA wins: 12, G wins: 77, Ties: 11
