G: 2.50950876, SA: 1.14292858, diff: 1.3665801800000001, Winner: G
G: 2.46918932, SA: 1.1085888, diff: 1.36060052, Winner: G
G: 1.67124721, SA: 1.77819497, diff: 0.10694775999999995, Winner: SA
G: 1.70155935, SA: 2.36916531, diff: 0.6676059600000002, Winner: SA
G: 1.17821997, SA: 3.33740196, diff: 2.1591819899999996, Winner: SA
G: 2.41114868, SA: 2.66677729, diff: 0.25562861000000003, Winner: SA
G: 1.57805003, SA: 1.57166551, diff: 0.006384519999999894, Winner: G
G: 1.497856, SA: 1.01650367, diff: 0.48135233, Winner: G
G: 2.09952653, SA: 1.42722018, diff: 0.6723063499999999, Winner: G
G: 1.90708147, SA: 2.56946274, diff: 0.66238127, Winner: SA
G: 2.36820184, SA: 2.35486732, diff: 0.013334519999999905, Winner: G
G: 1.52523675, SA: 1.50612078, diff: 0.01911596999999987, Winner: G
G: 1.02919271, SA: 1.87103026, diff: 0.8418375499999999, Winner: SA
G: 1.84701229, SA: 1.75103718, diff: 0.09597510999999992, Winner: G
G: 2.49996536, SA: 1.91756553, diff: 0.58239983, Winner: G
G: 1.00994605, SA: 2.85149206, diff: 1.84154601, Winner: SA
G: 2.65829572, SA: 0.95323174, diff: 1.7050639799999998, Winner: G
G: 1.93619998, SA: 1.01900886, diff: 0.91719112, Winner: G
G: 2.80801015, SA: 2.79506993, diff: 0.012940219999999947, Winner: G
G: 1.00992083, SA: 1.00143304, diff: 0.008487789999999995, Winner: G
G: 1.79740012, SA: 1.77519191, diff: 0.02220821000000006, Winner: G
G: 2.49321806, SA: 1.94386967, diff: 0.5493483899999998, Winner: G
G: 1.94255091, SA: 1.11091183, diff: 0.83163908, Winner: G
G: 1.01770973, SA: 2.58528425, diff: 1.56757452, Winner: SA
G: 1.56695051, SA: 1.5142329, diff: 0.05271760999999997, Winner: G
G: 1.07054716, SA: 2.20322371, diff: 1.13267655, Winner: SA
G: 1.04408652, SA: 1.05179847, diff: 0.007711950000000023, Winner: SA
G: 1.36595018, SA: 1.35374788, diff: 0.0122023, Winner: G
G: 1.00817045, SA: 1.87559381, diff: 0.8674233600000001, Winner: SA
G: 2.28256787, SA: 2.27895433, diff: 0.003613539999999915, Winner: G
G: 1.72517526, SA: 1.7136521, diff: 0.011523160000000088, Winner: G
G: 1.11651037, SA: 1.11311498, diff: 0.003395390000000109, Winner: G
G: 2.09685953, SA: 2.11184647, diff: 0.014986940000000004, Winner: SA
G: 1.15223916, SA: 2.22548182, diff: 1.0732426600000002, Winner: SA
G: 1.64777347, SA: 2.08643499, diff: 0.4386615199999999, Winner: SA
G: 1.04712155, SA: 1.09561478, diff: 0.048493230000000054, Winner: SA
G: 1.33613247, SA: 1.47156302, diff: 0.13543055000000015, Winner: SA
G: 1.86883263, SA: 2.92860772, diff: 1.05977509, Winner: SA
G: 1.09303301, SA: 0.0, diff: 1.09303301, Winner: G
G: 1.27676421, SA: 1.76993642, diff: 0.49317221, Winner: SA
G: 1.59687701, SA: 1.23730949, diff: 0.35956752000000014, Winner: G
G: 1.58882124, SA: 1.57868661, diff: 0.010134629999999811, Winner: G
G: 1.88082008, SA: 1.87775868, diff: 0.003061399999999992, Winner: G
G: 1.00142891, SA: 0.99466466, diff: 0.006764250000000027, Winner: G
G: 1.30553831, SA: 1.06456784, diff: 0.24097046999999994, Winner: G
G: 1.09132724, SA: 0.96444474, diff: 0.1268825, Winner: G
G: 1.67321292, SA: 0.0, diff: 1.67321292, Winner: G
G: 2.06556391, SA: 1.02574001, diff: 1.0398238999999998, Winner: G
G: 1.07452487, SA: 1.72077154, diff: 0.64624667, Winner: SA
G: 1.24692361, SA: 2.16643212, diff: 0.91950851, Winner: SA
G: 2.05850785, SA: 2.04404012, diff: 0.01446772999999979, Winner: G
G: 1.10581619, SA: 0.0, diff: 1.10581619, Winner: G
G: 1.69038363, SA: 1.53339864, diff: 0.15698499, Winner: G
G: 2.67270662, SA: 1.63447429, diff: 1.03823233, Winner: G
G: 1.16892264, SA: 1.89854096, diff: 0.7296183200000002, Winner: SA
G: 1.34704436, SA: 0.0, diff: 1.34704436, Winner: G
G: 1.06497664, SA: 0.0, diff: 1.06497664, Winner: G
G: 1.19763644, SA: 1.62452978, diff: 0.4268933400000001, Winner: SA
G: 1.05166178, SA: 1.84693511, diff: 0.7952733299999999, Winner: SA
G: 2.05645173, SA: 0.93596863, diff: 1.1204831, Winner: G
G: 1.31245364, SA: 1.28699328, diff: 0.02546036000000007, Winner: G
G: 1.93935362, SA: 1.90797997, diff: 0.03137364999999992, Winner: G
G: 1.05442186, SA: 2.25893795, diff: 1.20451609, Winner: SA
G: 1.17027202, SA: 1.0020429, diff: 0.16822912000000012, Winner: G
G: 2.44867138, SA: 2.44674869, diff: 0.0019226899999997826, Winner: G
G: 2.46212457, SA: 1.01624074, diff: 1.4458838299999999, Winner: G
G: 1.27487549, SA: 1.25072377, diff: 0.024151719999999877, Winner: G
G: 2.33389467, SA: 3.73157039, diff: 1.39767572, Winner: SA
G: 1.38500454, SA: 1.05643182, diff: 0.32857271999999993, Winner: G
G: 1.50808005, SA: 1.37289341, diff: 0.1351866399999999, Winner: G
G: 2.54525207, SA: 2.51939502, diff: 0.025857049999999937, Winner: G
G: 2.01377111, SA: 2.56103861, diff: 0.5472675000000002, Winner: SA
G: 1.49165998, SA: 1.47204029, diff: 0.01961969000000008, Winner: G
G: 1.48154301, SA: 1.4587, diff: 0.022843009999999886, Winner: G
G: 1.26459634, SA: 1.7249196, diff: 0.46032326, Winner: SA
G: 2.6176093, SA: 1.63395602, diff: 0.9836532799999997, Winner: G
G: 2.6581226, SA: 2.65415558, diff: 0.003967020000000154, Winner: G
G: 4.05482804, SA: 4.04416141, diff: 0.010666630000000232, Winner: G
G: 1.40954426, SA: 2.02991706, diff: 0.6203727999999997, Winner: SA
G: 2.01392849, SA: 1.57781886, diff: 0.43610963, Winner: G
G: 1.3075144, SA: 0.0, diff: 1.3075144, Winner: G
G: 1.39630357, SA: 1.003512, diff: 0.39279157, Winner: G
G: 1.76353174, SA: 1.75263757, diff: 0.010894169999999814, Winner: G
G: 1.53805377, SA: 2.82967657, diff: 1.2916228, Winner: SA
G: 1.94826931, SA: 1.93710216, diff: 0.011167149999999904, Winner: G
G: 1.05591599, SA: 1.75199163, diff: 0.6960756400000001, Winner: SA
G: 1.03076309, SA: 1.5647158, diff: 0.5339527100000001, Winner: SA
G: 1.69425223, SA: 2.6138275, diff: 0.9195752700000002, Winner: SA
G: 2.35556186, SA: 1.93927668, diff: 0.4162851799999998, Winner: G
G: 1.15382078, SA: 0.97835318, diff: 0.17546759999999995, Winner: G
G: 1.06233987, SA: 1.61272778, diff: 0.55038791, Winner: SA
G: 1.09811223, SA: 1.81804081, diff: 0.7199285800000002, Winner: SA
G: 2.26767405, SA: 2.44560144, diff: 0.1779273899999998, Winner: SA
G: 3.23248141, SA: 3.22322951, diff: 0.009251900000000202, Winner: G
G: 1.00707403, SA: 2.2554781, diff: 1.2484040699999999, Winner: SA
G: 1.86478168, SA: 1.86694623, diff: 0.002164549999999821, Winner: SA
G: 1.67738193, SA: 1.66234685, diff: 0.015035079999999867, Winner: G
G: 1.04031576, SA: 0.00266443, diff: 1.0376513299999999, Winner: G
G: 1.02584592, SA: 3.43038844, diff: 2.40454252, Winner: SA
G: 2.17216333, SA: 2.16555384, diff: 0.006609490000000218, Winner: G
SA wins: 38, G wins: 62, Ties: 0
