G: 1.77e-06, SA: 4.356e-05, diff: 4.1790000000000005e-05, Winner: SA
G: 5.08e-06, SA: 0.0, diff: 5.08e-06, Winner: G
G: 1.05e-06, SA: 0.99939402, diff: 0.99939297, Winner: SA
G: 0.99999975, SA: 0.0, diff: 0.99999975, Winner: G
G: 4.2e-06, SA: 0.0, diff: 4.2e-06, Winner: G
G: 1.33e-06, SA: 0.99954971, diff: 0.99954838, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.99975053, diff: 0.99975053, Winner: SA
G: 0.99999976, SA: 0.0, diff: 0.99999976, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 4.5e-07, SA: 0.0, diff: 4.5e-07, Winner: G
G: 6.9e-07, SA: 0.9988241, diff: 0.99882341, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1e-08, SA: 0.0, diff: 1e-08, Winner: G
G: 5.3e-07, SA: 0.0, diff: 5.3e-07, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1.00000922, SA: 6e-08, diff: 1.0000091599999998, Winner: G
G: 1.00009117, SA: 0.0, diff: 1.00009117, Winner: G
G: 4e-08, SA: 0.0, diff: 4e-08, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 3.6e-07, SA: 0.0, diff: 3.6e-07, Winner: G
G: 0.99999975, SA: 0.99710519, diff: 0.0028945599999999905, Winner: G
G: 0.0, SA: 1e-08, diff: 1e-08, Winner: SA
G: 0.99999976, SA: 2.4e-07, diff: 0.99999952, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1.6e-07, SA: 0.0, diff: 1.6e-07, Winner: G
G: 5.1e-06, SA: 4.9e-07, diff: 4.61e-06, Winner: G
G: 2.09e-06, SA: 0.0, diff: 2.09e-06, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1.0000051, SA: 7e-08, diff: 1.00000503, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 2.461e-05, SA: 0.99719615, diff: 0.99717154, Winner: SA
G: 2.229e-05, SA: 0.0, diff: 2.229e-05, Winner: G
G: 0.00011012, SA: 0.0, diff: 0.00011012, Winner: G
G: 7.4e-07, SA: 0.0, diff: 7.4e-07, Winner: G
G: 9.12e-06, SA: 0.99837709, diff: 0.99836797, Winner: SA
G: 1.00001241, SA: 0.9982679, diff: 0.001744510000000088, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 4.4e-07, diff: 4.4e-07, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.99999976, SA: 0.0, diff: 0.99999976, Winner: G
G: 0.0, SA: 0.99770546, diff: 0.99770546, Winner: SA
G: 2.085e-05, SA: 0.9973011, diff: 0.9972802500000001, Winner: SA
G: 3.66e-05, SA: 0.0, diff: 3.66e-05, Winner: G
G: 8e-08, SA: 0.0, diff: 8e-08, Winner: G
G: 0.0, SA: 0.9971324, diff: 0.9971324, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1.0000005, SA: 0.0, diff: 1.0000005, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 3e-08, SA: 0.99605019, diff: 0.9960501599999999, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.99999975, SA: 0.0, diff: 0.99999975, Winner: G
G: 3.7e-07, SA: 0.0, diff: 3.7e-07, Winner: G
G: 0.0, SA: 1.0063416, diff: 1.0063416, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.99999975, SA: 0.0, diff: 0.99999975, Winner: G
G: 0.0, SA: 0.99578868, diff: 0.99578868, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 5.54e-06, SA: 0.99774103, diff: 0.9977354900000001, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.99999985, SA: 0.0, diff: 0.99999985, Winner: G
