G: 3.603e-05, SA: 0.98191709, diff: 0.9818810600000001, Winner: SA
G: 1.41229687, SA: 1.40610375, diff: 0.006193120000000052, Winner: G
G: 1.03834138, SA: 1.03061317, diff: 0.007728210000000013, Winner: G
G: 1.00235206, SA: 0.98664805, diff: 0.01570400999999999, Winner: G
G: 1.04521667, SA: 0.98170572, diff: 0.06351095000000007, Winner: G
G: 1.49188967, SA: 1.66689406, diff: 0.17500439, Winner: SA
G: 1.00014187, SA: 0.97671611, diff: 0.023425759999999962, Winner: G
G: 1.0000608, SA: 1.04497552, diff: 0.044914719999999964, Winner: SA
G: 1.01637719, SA: 0.98568425, diff: 0.030692940000000002, Winner: G
G: 1.00021696, SA: 8.8e-07, diff: 1.00021608, Winner: G
G: 1.52735485, SA: 0.0, diff: 1.52735485, Winner: G
G: 1.02567537, SA: 1.01099038, diff: 0.01468499000000012, Winner: G
G: 1.02681483, SA: 4e-08, diff: 1.02681479, Winner: G
G: 1.00886313, SA: 1.0026139, diff: 0.0062492299999998835, Winner: G
G: 1.0057837, SA: 0.00182101, diff: 1.00396269, Winner: G
G: 1.00000078, SA: 0.00011582, diff: 0.9998849599999999, Winner: G
G: 1.00513935, SA: 0.99031748, diff: 0.014821870000000126, Winner: G
G: 1.00312664, SA: 0.96939994, diff: 0.03372670000000011, Winner: G
G: 1.0146857, SA: 1.00824177, diff: 0.006443930000000098, Winner: G
G: 1.00240311, SA: 0.95199322, diff: 0.05040988999999996, Winner: G
G: 1.00047378, SA: 0.98781399, diff: 0.01265979000000006, Winner: G
G: 1.0000145, SA: 0.0, diff: 1.0000145, Winner: G
G: 1.00011667, SA: 1.04691711, diff: 0.046800440000000165, Winner: SA
G: 1.06297917, SA: 1.09194529, diff: 0.028966119999999984, Winner: SA
G: 1.00156026, SA: 0.97868812, diff: 0.02287213999999993, Winner: G
G: 1.99e-06, SA: 1.05534743, diff: 1.0553454400000002, Winner: SA
G: 1.00464173, SA: 0.99185445, diff: 0.012787279999999845, Winner: G
G: 1.00883955, SA: 0.99999455, diff: 0.008844999999999992, Winner: G
G: 1.00000102, SA: 0.99276208, diff: 0.007238940000000027, Winner: G
G: 1.0000223, SA: 0.9821138, diff: 0.017908499999999883, Winner: G
G: 1.0096245, SA: 0.9870448, diff: 0.02257969999999987, Winner: G
G: 0.00019956, SA: 0.985956, diff: 0.9857564400000001, Winner: SA
G: 1.03193862, SA: 1.14756504, diff: 0.1156264199999999, Winner: SA
G: 1.01548392, SA: 0.99932395, diff: 0.016159970000000135, Winner: G
G: 1.06194152, SA: 0.97850307, diff: 0.08343844999999994, Winner: G
G: 1.03476107, SA: 0.9915824, diff: 0.043178670000000086, Winner: G
G: 1.00848826, SA: 0.98490327, diff: 0.023584990000000028, Winner: G
G: 1.22879326, SA: 1.21300774, diff: 0.01578552000000011, Winner: G
G: 1.0016703, SA: 0.95231027, diff: 0.04936003, Winner: G
G: 0.00015095, SA: 1.87152901, diff: 1.8713780599999998, Winner: SA
G: 1.00005854, SA: 0.99348558, diff: 0.006572959999999961, Winner: G
G: 1.13519659, SA: 3.8e-07, diff: 1.1351962100000001, Winner: G
G: 1.19485388, SA: 5.415e-05, diff: 1.19479973, Winner: G
G: 1.00002327, SA: 1.01579133, diff: 0.015768060000000084, Winner: SA
G: 1.846e-05, SA: 0.0, diff: 1.846e-05, Winner: G
G: 1.07518446, SA: 0.99906849, diff: 0.07611597000000003, Winner: G
G: 2.185e-05, SA: 0.0, diff: 2.185e-05, Winner: G
G: 1.00026427, SA: 0.00050854, diff: 0.99975573, Winner: G
G: 1.64302393, SA: 1e-08, diff: 1.64302392, Winner: G
G: 1.01577245, SA: 0.0, diff: 1.01577245, Winner: G
G: 1.02319707, SA: 1.0315239, diff: 0.008326830000000118, Winner: SA
