G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 8.35e-06, SA: 0.0, diff: 8.35e-06, Winner: G
G: 2.727e-05, SA: 0.0, diff: 2.727e-05, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.99999976, SA: 0.0, diff: 0.99999976, Winner: G
G: 7.41e-06, SA: 0.0, diff: 7.41e-06, Winner: G
G: 0.99999975, SA: 0.0, diff: 0.99999975, Winner: G
G: 0.0, SA: 0.99909324, diff: 0.99909324, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1e-08, SA: 0.99887107, diff: 0.9988710599999999, Winner: SA
G: 0.00014029, SA: 0.0, diff: 0.00014029, Winner: G
G: 1.46e-06, SA: 0.99830785, diff: 0.99830639, Winner: SA
G: 3.6e-07, SA: 0.0, diff: 3.6e-07, Winner: G
G: 0.99999975, SA: 0.99761826, diff: 0.002381489999999986, Winner: G
G: 0.0, SA: 0.99910222, diff: 0.99910222, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 2.43e-05, SA: 0.0, diff: 2.43e-05, Winner: G
G: 2e-07, SA: 0.0, diff: 2e-07, Winner: G
G: 1.00132673, SA: 0.0, diff: 1.00132673, Winner: G
G: 0.0, SA: 0.99613647, diff: 0.99613647, Winner: SA
G: 3.69e-06, SA: 0.0, diff: 3.69e-06, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1.787e-05, SA: 0.0, diff: 1.787e-05, Winner: G
G: 0.0, SA: 1e-08, diff: 1e-08, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 4e-08, SA: 0.0, diff: 4e-08, Winner: G
G: 0.0, SA: 4.539e-05, diff: 4.539e-05, Winner: SA
G: 5e-08, SA: 0.0, diff: 5e-08, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 7e-08, diff: 7e-08, Winner: SA
G: 0.0, SA: 0.99821524, diff: 0.99821524, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.99833436, diff: 0.99833436, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.99999976, SA: 0.99799237, diff: 0.0020073900000000533, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.99999975, SA: 0.99613971, diff: 0.0038600399999999535, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1.1e-07, SA: 0.0, diff: 1.1e-07, Winner: G
