G: 0.0, SA: 0.99916555, diff: 0.99916555, Winner: SA
G: 0.00013231, SA: 0.99689048, diff: 0.99675817, Winner: SA
G: 1.04e-06, SA: 0.0, diff: 1.04e-06, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 2e-08, SA: 4.47e-06, diff: 4.450000000000001e-06, Winner: SA
G: 6.961e-05, SA: 0.0, diff: 6.961e-05, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 2e-08, diff: 2e-08, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.99999975, SA: 0.0, diff: 0.99999975, Winner: G
G: 6.1e-07, SA: 0.0, diff: 6.1e-07, Winner: G
G: 1.9e-07, SA: 0.0, diff: 1.9e-07, Winner: G
G: 0.0, SA: 0.99746621, diff: 0.99746621, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 3e-08, diff: 3e-08, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 2.8e-06, SA: 0.0, diff: 2.8e-06, Winner: G
G: 6e-08, SA: 2.58e-06, diff: 2.52e-06, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 7e-08, diff: 7e-08, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.99900201, diff: 0.99900201, Winner: SA
G: 1.1e-07, SA: 0.0, diff: 1.1e-07, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 5e-08, diff: 5e-08, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.99999975, SA: 0.0, diff: 0.99999975, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 2.6e-07, SA: 0.0, diff: 2.6e-07, Winner: G
G: 5.2e-07, SA: 0.0, diff: 5.2e-07, Winner: G
G: 0.0, SA: 1e-08, diff: 1e-08, Winner: SA
G: 8.044e-05, SA: 0.0, diff: 8.044e-05, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.9967291, diff: 0.9967291, Winner: SA
G: 1.79e-06, SA: 0.0, diff: 1.79e-06, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 3.45e-06, SA: 0.0, diff: 3.45e-06, Winner: G
G: 3e-08, SA: 0.0, diff: 3e-08, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1.214e-05, SA: 0.0, diff: 1.214e-05, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.99544972, diff: 0.99544972, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.99964307, diff: 0.99964307, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 7.258e-05, SA: 0.99753884, diff: 0.99746626, Winner: SA
G: 1.4e-05, SA: 0.0, diff: 1.4e-05, Winner: G
G: 3e-08, SA: 0.0, diff: 3e-08, Winner: G
G: 1e-07, SA: 0.0, diff: 1e-07, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1.326e-05, SA: 0.0, diff: 1.326e-05, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 1.3e-07, diff: 1.3e-07, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.99797814, diff: 0.99797814, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 8e-08, SA: 0.0, diff: 8e-08, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1.96e-06, SA: 0.0, diff: 1.96e-06, Winner: G
G: 2e-08, SA: 0.0, diff: 2e-08, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1e-08, SA: 0.0, diff: 1e-08, Winner: G
G: 9.2e-07, SA: 1e-08, diff: 9.1e-07, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1.1e-07, SA: 0.0, diff: 1.1e-07, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1.06e-06, SA: 0.99795604, diff: 0.99795498, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1e-08, SA: 0.0, diff: 1e-08, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.99999976, SA: 0.0, diff: 0.99999976, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
SA wins: 18, G wins: 27, Ties: 55
