G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1.9e-07, SA: 0.99817672, diff: 0.9981765300000001, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 7e-08, SA: 0.0, diff: 7e-08, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 4e-08, SA: 0.0, diff: 4e-08, Winner: G
G: 1.88e-06, SA: 0.0, diff: 1.88e-06, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1.56e-06, SA: 0.0, diff: 1.56e-06, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.99141814, diff: 0.99141814, Winner: SA
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.99999975, SA: 0.0, diff: 0.99999975, Winner: G
G: 1.83e-06, SA: 0.0, diff: 1.83e-06, Winner: G
G: 5e-08, SA: 0.0, diff: 5e-08, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 3e-08, SA: 0.0, diff: 3e-08, Winner: G
G: 2.005e-05, SA: 0.0, diff: 2.005e-05, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 1e-08, SA: 0.0, diff: 1e-08, Winner: G
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
G: 0.0, SA: 0.0, diff: 0.0, Winner: =
